date;numError
29-11-2020;2
25-11-2020;1
24-11-2020;1
21-11-2020;2
20-11-2020;1
19-11-2020;1
18-11-2020;1
16-11-2020;1
15-11-2020;3
14-11-2020;1
13-11-2020;1
12-11-2020;2
10-11-2020;1
09-11-2020;2
07-11-2020;1
06-11-2020;2
05-11-2020;1
03-11-2020;1
02-11-2020;1
01-11-2020;2
31-10-2020;2
29-10-2020;1
27-10-2020;2
26-10-2020;2
24-10-2020;2
23-10-2020;1
22-10-2020;2
21-10-2020;2
20-10-2020;2
19-10-2020;2
17-10-2020;2
15-10-2020;1
13-10-2020;2
11-10-2020;1
09-10-2020;7
08-10-2020;5
07-10-2020;1
06-10-2020;1
03-10-2020;2
01-10-2020;1
30-09-2020;1
29-09-2020;1
28-09-2020;2
27-09-2020;3
26-09-2020;1
24-09-2020;2
23-09-2020;1
22-09-2020;3
20-09-2020;5
19-09-2020;2
18-09-2020;2
17-09-2020;2
14-09-2020;3
12-09-2020;2
11-09-2020;2
10-09-2020;1
08-09-2020;2
07-09-2020;1
05-09-2020;2
04-09-2020;2
02-09-2020;2
01-09-2020;2
31-08-2020;1
30-08-2020;3
28-08-2020;1
27-08-2020;4
26-08-2020;4
24-08-2020;2
23-08-2020;1
21-08-2020;2
20-08-2020;1
19-08-2020;2
17-08-2020;2
15-08-2020;2
13-08-2020;2
12-08-2020;2
08-08-2020;1
06-08-2020;1
05-08-2020;1
04-08-2020;1
03-08-2020;2
02-08-2020;1
01-08-2020;1
30-07-2020;1
29-07-2020;1
28-07-2020;4
27-07-2020;2
26-07-2020;3
25-07-2020;3
24-07-2020;1
23-07-2020;1
22-07-2020;2
21-07-2020;1
19-07-2020;1
18-07-2020;4
17-07-2020;3
16-07-2020;1
15-07-2020;1
14-07-2020;2
13-07-2020;1
12-07-2020;1
10-07-2020;1
09-07-2020;2
08-07-2020;1
07-07-2020;4
06-07-2020;3
04-07-2020;1
03-07-2020;1
01-07-2020;1
30-06-2020;2
29-06-2020;2
28-06-2020;1
27-06-2020;2
26-06-2020;2
25-06-2020;1
24-06-2020;3
23-06-2020;1
21-06-2020;1
19-06-2020;2
18-06-2020;1
17-06-2020;1
16-06-2020;2
15-06-2020;2
14-06-2020;1
13-06-2020;2
12-06-2020;5
11-06-2020;4
10-06-2020;4
08-06-2020;2
06-06-2020;1
04-06-2020;1
03-06-2020;2
02-06-2020;2
31-05-2020;2
29-05-2020;2
28-05-2020;2
27-05-2020;3
26-05-2020;1
25-05-2020;5
21-05-2020;1
18-05-2020;1
16-05-2020;3
15-05-2020;3
14-05-2020;2
13-05-2020;1
12-05-2020;3
11-05-2020;3
10-05-2020;2
09-05-2020;2
08-05-2020;3
06-05-2020;1
04-05-2020;1
01-05-2020;2
30-04-2020;2
28-04-2020;1
24-04-2020;1
23-04-2020;2
22-04-2020;1
21-04-2020;2
20-04-2020;1
19-04-2020;1
18-04-2020;2
17-04-2020;1
16-04-2020;3
15-04-2020;1
14-04-2020;2
13-04-2020;2
11-04-2020;1
10-04-2020;1
08-04-2020;1
05-04-2020;2
04-04-2020;3
03-04-2020;1
02-04-2020;1
31-03-2020;1
29-03-2020;3
28-03-2020;2
27-03-2020;1
26-03-2020;1
25-03-2020;2
23-03-2020;2
22-03-2020;2
21-03-2020;1
20-03-2020;1
18-03-2020;2
16-03-2020;2
15-03-2020;1
14-03-2020;2
13-03-2020;1
12-03-2020;1
11-03-2020;2
09-03-2020;1
07-03-2020;2
05-03-2020;1
04-03-2020;1
03-03-2020;1
01-03-2020;1
29-02-2020;1
28-02-2020;1
27-02-2020;4
26-02-2020;3
24-02-2020;5
23-02-2020;2
22-02-2020;1
21-02-2020;4
20-02-2020;1
19-02-2020;1
16-02-2020;1
14-02-2020;1
13-02-2020;1
12-02-2020;1
11-02-2020;1
10-02-2020;1
08-02-2020;3
07-02-2020;2
06-02-2020;1
05-02-2020;2
03-02-2020;1
02-02-2020;1
31-01-2020;2
30-01-2020;1
28-01-2020;1
27-01-2020;2
26-01-2020;1
25-01-2020;4
24-01-2020;2
22-01-2020;1
21-01-2020;2
20-01-2020;1
18-01-2020;3
17-01-2020;2
16-01-2020;1
13-01-2020;3
12-01-2020;2
11-01-2020;3
10-01-2020;1
09-01-2020;1
07-01-2020;2
05-01-2020;3
04-01-2020;3
03-01-2020;1
02-01-2020;3
01-01-2020;3
31-12-2019;2
30-12-2019;2
29-12-2019;1
27-12-2019;1
26-12-2019;1
24-12-2019;1
22-12-2019;1
20-12-2019;1
19-12-2019;4
17-12-2019;1
16-12-2019;3
15-12-2019;2
14-12-2019;1
13-12-2019;3
12-12-2019;1
11-12-2019;1
10-12-2019;1
08-12-2019;1
07-12-2019;1
06-12-2019;3
