Date;Alert;numError;P - value
29-11-2020;0;2;0,50
25-11-2020;0;1;0,16
24-11-2020;0;1;0,26
21-11-2020;0;2;0,18
20-11-2020;0;1;0,26
19-11-2020;0;1;0,31
18-11-2020;0;1;0,34
16-11-2020;0;1;0,36
15-11-2020;0;3;0,00
14-11-2020;0;1;0,35
13-11-2020;0;1;0,36
12-11-2020;0;2;0,22
10-11-2020;0;1;0,35
09-11-2020;0;2;0,23
07-11-2020;0;1;0,34
06-11-2020;0;2;0,23
05-11-2020;0;1;0,33
03-11-2020;0;1;0,34
02-11-2020;0;1;0,35
01-11-2020;0;2;0,21
31-10-2020;0;2;0,23
29-10-2020;0;1;0,32
27-10-2020;0;2;0,23
26-10-2020;0;2;0,24
24-10-2020;0;2;0,25
23-10-2020;0;1;0,30
22-10-2020;0;2;0,25
21-10-2020;0;2;0,26
20-10-2020;0;2;0,27
19-10-2020;0;2;0,28
17-10-2020;0;2;0,28
15-10-2020;0;1;0,26
13-10-2020;0;2;0,28
11-10-2020;0;1;0,26
09-10-2020;0;7;0,00
08-10-2020;0;5;0,03
07-10-2020;0;1;0,33
06-10-2020;0;1;0,33
03-10-2020;0;2;0,38
01-10-2020;0;1;0,33
30-09-2020;0;1;0,33
29-09-2020;0;1;0,34
28-09-2020;0;2;0,37
27-09-2020;0;3;0,15
26-09-2020;0;1;0,33
24-09-2020;0;2;0,37
23-09-2020;0;1;0,33
22-09-2020;0;3;0,15
20-09-2020;0;5;0,03
19-09-2020;0;2;0,40
18-09-2020;0;2;0,40
17-09-2020;0;2;0,40
14-09-2020;0;3;0,18
12-09-2020;0;2;0,41
11-09-2020;0;2;0,41
10-09-2020;0;1;0,30
08-09-2020;0;2;0,41
07-09-2020;0;1;0,30
05-09-2020;0;2;0,41
04-09-2020;0;2;0,41
02-09-2020;0;2;0,41
01-09-2020;0;2;0,41
31-08-2020;0;1;0,29
30-08-2020;0;3;0,17
28-08-2020;0;1;0,29
27-08-2020;0;4;0,07
26-08-2020;0;4;0,08
24-08-2020;0;2;0,43
23-08-2020;0;1;0,29
21-08-2020;0;2;0,43
20-08-2020;0;1;0,29
19-08-2020;0;2;0,44
17-08-2020;0;2;0,44
15-08-2020;0;2;0,44
13-08-2020;0;2;0,44
12-08-2020;0;2;0,44
08-08-2020;0;1;0,26
06-08-2020;0;1;0,27
05-08-2020;0;1;0,27
04-08-2020;0;1;0,28
03-08-2020;0;2;0,44
02-08-2020;0;1;0,28
01-08-2020;0;1;0,28
30-07-2020;0;1;0,28
29-07-2020;0;1;0,28
28-07-2020;0;4;0,09
27-07-2020;0;2;0,44
26-07-2020;0;3;0,22
25-07-2020;0;3;0,22
24-07-2020;0;1;0,27
23-07-2020;0;1;0,28
22-07-2020;0;2;0,45
21-07-2020;0;1;0,28
19-07-2020;0;1;0,28
18-07-2020;0;4;0,10
17-07-2020;0;3;0,24
16-07-2020;0;1;0,29
15-07-2020;0;1;0,29
14-07-2020;0;2;0,45
13-07-2020;0;1;0,29
12-07-2020;0;1;0,28
10-07-2020;0;1;0,28
09-07-2020;0;2;0,42
08-07-2020;0;1;0,27
07-07-2020;0;4;0,07
06-07-2020;0;3;0,20
04-07-2020;0;1;0,27
03-07-2020;0;1;0,27
01-07-2020;0;1;0,27
30-06-2020;0;2;0,43
29-06-2020;0;2;0,43
28-06-2020;0;1;0,27
27-06-2020;0;2;0,43
26-06-2020;0;2;0,43
25-06-2020;0;1;0,27
24-06-2020;0;3;0,17
23-06-2020;0;1;0,27
21-06-2020;0;1;0,28
19-06-2020;0;2;0,40
18-06-2020;0;1;0,29
17-06-2020;0;1;0,29
16-06-2020;0;2;0,39
15-06-2020;0;2;0,39
14-06-2020;0;1;0,29
13-06-2020;0;2;0,39
12-06-2020;1;5;0,01
11-06-2020;0;4;0,07
10-06-2020;0;4;0,08
08-06-2020;0;2;0,43
06-06-2020;0;1;0,30
04-06-2020;0;1;0,30
03-06-2020;0;2;0,41
02-06-2020;0;2;0,40
31-05-2020;0;2;0,40
